PyTorch Version: 1.7.0
CUDA device available: False
Using CUDA device: cpu
Random Seed: 42
Output Path: /home/bu20/2021/UP_courses/DL/project/UTK_final/
Script: run_model.py
Time elapsed: 244.56 min
Epoch: 022/050 | Batch 0000/0190 | Cost: 4.7281
Epoch: 022/050 | Batch 0025/0190 | Cost: 5.1148
Epoch: 022/050 | Batch 0050/0190 | Cost: 4.1172
Epoch: 022/050 | Batch 0075/0190 | Cost: 4.3004
Epoch: 022/050 | Batch 0100/0190 | Cost: 5.6729
Epoch: 022/050 | Batch 0125/0190 | Cost: 5.3456
Epoch: 022/050 | Batch 0150/0190 | Cost: 4.8489
Epoch: 022/050 | Batch 0175/0190 | Cost: 3.9629
CS/MAE/RMSE: | Current Valid: 0.29/9.53/11.49 Ep. 21 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 256.16 min
Epoch: 023/050 | Batch 0000/0190 | Cost: 4.7735
Epoch: 023/050 | Batch 0025/0190 | Cost: 4.9000
Epoch: 023/050 | Batch 0050/0190 | Cost: 4.3637
Epoch: 023/050 | Batch 0075/0190 | Cost: 4.3873
Epoch: 023/050 | Batch 0100/0190 | Cost: 6.4391
Epoch: 023/050 | Batch 0125/0190 | Cost: 5.2761
Epoch: 023/050 | Batch 0150/0190 | Cost: 4.0758
Epoch: 023/050 | Batch 0175/0190 | Cost: 4.4415
CS/MAE/RMSE: | Current Valid: 0.42/7.35/9.26 Ep. 22 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 268.34 min
Epoch: 024/050 | Batch 0000/0190 | Cost: 4.9829
Epoch: 024/050 | Batch 0025/0190 | Cost: 4.6027
Epoch: 024/050 | Batch 0050/0190 | Cost: 4.1296
Epoch: 024/050 | Batch 0075/0190 | Cost: 4.5446
Epoch: 024/050 | Batch 0100/0190 | Cost: 5.4985
Epoch: 024/050 | Batch 0125/0190 | Cost: 5.2730
Epoch: 024/050 | Batch 0150/0190 | Cost: 4.4924
Epoch: 024/050 | Batch 0175/0190 | Cost: 4.4404
CS/MAE/RMSE: | Current Valid: 0.29/10.28/12.49 Ep. 23 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 280.64 min
Epoch: 025/050 | Batch 0000/0190 | Cost: 4.2562
Epoch: 025/050 | Batch 0025/0190 | Cost: 4.5766
Epoch: 025/050 | Batch 0050/0190 | Cost: 3.4659
Epoch: 025/050 | Batch 0075/0190 | Cost: 4.2495
Epoch: 025/050 | Batch 0100/0190 | Cost: 6.0380
Epoch: 025/050 | Batch 0125/0190 | Cost: 5.6092
Epoch: 025/050 | Batch 0150/0190 | Cost: 4.1277
Epoch: 025/050 | Batch 0175/0190 | Cost: 4.1007
CS/MAE/RMSE: | Current Valid: 0.25/11.45/13.71 Ep. 24 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 293.96 min
Epoch: 026/050 | Batch 0000/0190 | Cost: 4.1257
Epoch: 026/050 | Batch 0025/0190 | Cost: 4.4005
Epoch: 026/050 | Batch 0050/0190 | Cost: 3.6362
Epoch: 026/050 | Batch 0075/0190 | Cost: 4.2775
Epoch: 026/050 | Batch 0100/0190 | Cost: 5.7311
Epoch: 026/050 | Batch 0125/0190 | Cost: 4.9506
Epoch: 026/050 | Batch 0150/0190 | Cost: 3.6828
Epoch: 026/050 | Batch 0175/0190 | Cost: 4.2849
CS/MAE/RMSE: | Current Valid: 0.19/14.22/16.62 Ep. 25 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 307.32 min
Epoch: 027/050 | Batch 0000/0190 | Cost: 4.2159
Epoch: 027/050 | Batch 0025/0190 | Cost: 4.6086
Epoch: 027/050 | Batch 0050/0190 | Cost: 3.4949
Epoch: 027/050 | Batch 0075/0190 | Cost: 4.3358
Epoch: 027/050 | Batch 0100/0190 | Cost: 5.2028
Epoch: 027/050 | Batch 0125/0190 | Cost: 4.9917
Epoch: 027/050 | Batch 0150/0190 | Cost: 4.1393
Epoch: 027/050 | Batch 0175/0190 | Cost: 4.0734
CS/MAE/RMSE: | Current Valid: 0.32/9.17/11.22 Ep. 26 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 320.64 min
Epoch: 028/050 | Batch 0000/0190 | Cost: 4.0010
Epoch: 028/050 | Batch 0025/0190 | Cost: 5.1083
Epoch: 028/050 | Batch 0050/0190 | Cost: 3.3403
Epoch: 028/050 | Batch 0075/0190 | Cost: 4.4076
Epoch: 028/050 | Batch 0100/0190 | Cost: 5.8366
Epoch: 028/050 | Batch 0125/0190 | Cost: 4.9800
Epoch: 028/050 | Batch 0150/0190 | Cost: 4.5031
Epoch: 028/050 | Batch 0175/0190 | Cost: 4.3855
CS/MAE/RMSE: | Current Valid: 0.22/12.85/15.25 Ep. 27 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 334.09 min
Epoch: 029/050 | Batch 0000/0190 | Cost: 4.3369
Epoch: 029/050 | Batch 0025/0190 | Cost: 4.8336
Epoch: 029/050 | Batch 0050/0190 | Cost: 3.3728
Epoch: 029/050 | Batch 0075/0190 | Cost: 4.0138
Epoch: 029/050 | Batch 0100/0190 | Cost: 5.2257
Epoch: 029/050 | Batch 0125/0190 | Cost: 4.7335
Epoch: 029/050 | Batch 0150/0190 | Cost: 4.0274
Epoch: 029/050 | Batch 0175/0190 | Cost: 4.0674
CS/MAE/RMSE: | Current Valid: 0.23/12.59/14.96 Ep. 28 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 347.66 min
Epoch: 030/050 | Batch 0000/0190 | Cost: 3.2775
Epoch: 030/050 | Batch 0025/0190 | Cost: 4.0832
Epoch: 030/050 | Batch 0050/0190 | Cost: 3.5769
Epoch: 030/050 | Batch 0075/0190 | Cost: 3.6221
Epoch: 030/050 | Batch 0100/0190 | Cost: 5.2345
Epoch: 030/050 | Batch 0125/0190 | Cost: 4.7006
Epoch: 030/050 | Batch 0150/0190 | Cost: 4.1900
Epoch: 030/050 | Batch 0175/0190 | Cost: 3.7700
CS/MAE/RMSE: | Current Valid: 0.33/9.36/11.62 Ep. 29 | Best Valid :                0.42/7.35/9.26 Ep. 22
Time elapsed: 359.25 min
Epoch: 031/050 | Batch 0000/0190 | Cost: 3.7290
Epoch: 031/050 | Batch 0025/0190 | Cost: 4.3760
Epoch: 031/050 | Batch 0050/0190 | Cost: 3.2923
Epoch: 031/050 | Batch 0075/0190 | Cost: 3.8648
Epoch: 031/050 | Batch 0100/0190 | Cost: 5.6343
Epoch: 031/050 | Batch 0125/0190 | Cost: 5.3459
Epoch: 031/050 | Batch 0150/0190 | Cost: 3.9776
